Company,Ticker,Sector,Market Cap,num. of employees,revenue,profit,city,state,newcomer,ceo_founder,ceo_woman,profitable,prev_rank,CEO,rank,rank_change,Website
Walmart,WMT,Retailing,352037,2300000,572754,13673,Bentonville,AR,no,no,no,yes,1,C. Douglas McMillon,1,0,https://www.stock.walmart.com
Amazon,AMZN,Retailing,1202717,1608000,469822,33364,Seattle,WA,no,no,no,yes,2,Andrew R. Jassy,2,0,www.amazon.com
Apple,AAPL,Technology,2443962,154000,365817,94680,Cupertino,CA,no,no,no,yes,3,Timothy D. Cook,3,0,www.apple.com
CVS Health,CVS,Health Care,125204,258000,292111,7910,Woonsocket,RI,no,no,yes,yes,4,Karen Lynch,4,0,https://www.cvshealth.com
UnitedHealth Group,UNH,Health Care,500468,350000,287597,17285,Minnetonka,MN,no,no,no,yes,5,Andrew P. Witty,5,0,www.unitedhealthgroup.com
Exxon Mobil,XOM,Energy,371841,63000,285640,23040,Irving,TX,no,no,no,yes,10,Darren W. Woods,6,4,www.exxonmobil.com
Berkshire Hathaway,BRKA,Financials,625468,372000,276094,89795,Omaha,NE,no,no,no,yes,6,Warren E. Buffett,7,-1,www.berkshirehathaway.com
Alphabet,GOOGL,Technology,1309359,156500,257637,76033,Mountain View,CA,no,no,no,yes,9,Sundar Pichai,8,1,https://www.abc.xyz
McKesson,MCK,Health Care,47377,67500,238228,-4539,Irving,TX,no,no,no,no,7,Brian S. Tyler,9,-2,www.mckesson.com
AmerisourceBergen,ABC,Health Care,29972,40000,213988.8,1539.9,Conshohocken,PA,no,no,no,yes,8,Steven H. Collis,10,-2,www.amerisourcebergen.com
Costco Wholesale,COST,Retailing,230443,288000,195929,5007,Issaquah,WA,no,no,no,yes,12,W. Craig Jelinek,11,1,www.costco.com
Cigna,CI,Health Care,88459,72963,174078,5365,Bloomfield,CT,no,no,no,yes,13,David Cordani,12,1,https://www.cigna.com
AT&T,T,Telecommunications,148907,202600,168864,20081,Dallas,TX,no,no,no,yes,11,John T. Stankey,13,-2,www.att.com
Microsoft,MSFT,Technology,1941033,181000,168088,61271,Redmond,WA,no,no,no,yes,15,Satya Nadella,14,1,www.microsoft.com
Cardinal Health,CAH,Health Care,15169,46827,162467,611,Dublin,OH,no,no,no,yes,14,Jason Hollar,15,-1,www.cardinalhealth.com
Chevron,CVX,Energy,284132,42595,162465,15625,San Ramon,CA,no,no,no,yes,27,Michael K. Wirth,16,11,www.chevron.com
Home Depot,HD,Retailing,308152,490600,151157,16433,Atlanta,GA,no,no,no,yes,18,Edward P. Decker,17,1,www.homedepot.com
Walgreens Boots Alliance,WBA,Food & Drug Stores,33360,258500,148579,2542,Deerfield,IL,no,no,yes,yes,16,Roz Brewer,18,-2,www.walgreensbootsalliance.com
Marathon Petroleum,MPC,Energy,47526,17700,141032,9738,Findlay,OH,no,no,no,yes,32,Michael J. Hennigan,19,13,www.marathonpetroleum.com
Elevance Health,ELV,Health Care,119923,98200,138639,6104,Indianapolis,IN,no,no,yes,yes,23,Gail K. Boudreaux,20,3,www.elevancehealth.com
Kroger,KR,Food & Drug Stores,33846,420000,137888,1655,Cincinnati,OH,no,no,no,yes,17,W. Rodney McMullen,21,-4,www.thekrogerco.com
Ford Motor,F,Motor Vehicles & Parts,50609,183000,136341,17937,Dearborn,MI,no,no,no,yes,21,James D. Farley Jr.,22,-1,www.ford.com
Verizon Communications,VZ,Telecommunications,211872,118400,133613,22065,New York,NY,no,no,no,yes,20,Hans E. Vestberg,23,-3,www.verizon.com
JPMorgan Chase,JPM,Financials,336469,271025,127202,48334,New York,NY,no,no,no,yes,19,James Dimon,24,-5,www.jpmorganchase.com
General Motors,GM,Motor Vehicles & Parts,50156,157000,127004,10019,Detroit,MI,no,no,yes,yes,22,Mary T. Barra,25,-3,www.gm.com
Centene,CNC,Health Care,53429,72500,125982,1347,St. Louis,MO,no,no,yes,yes,24,Sarah M. London,26,-2,www.centene.com
Meta Platforms,META,Technology,475718,71970,117929,39370,Menlo Park,CA,no,yes,no,yes,34,Mark Zuckerberg,27,7,https://investor.fb.com
Comcast,CMCSA,Telecommunications,185069,189000,116385,14159,Philadelphia,PA,no,no,no,yes,26,Brian L. Roberts,28,-2,www.comcastcorporation.com
Phillips 66,PSX,Energy,41091,14000,114852,1317,Houston,TX,no,no,no,yes,48,Mark E. Lashier,29,19,www.phillips66.com
Valero Energy,VLO,Energy,44376,9804,108332,930,San Antonio,TX,no,no,no,yes,53,Joseph W. Gorder,30,23,www.valero.com
Dell Technologies,DELL,Technology,32568,133000,106995,5563,Round Rock,TX,no,yes,no,yes,28,Michael S. Dell,31,-3,www.delltechnologies.com
Target,TGT,Retailing,71112,450000,106005,6946,Minneapolis,MN,no,no,no,yes,30,Brian C. Cornell,32,-2,www.target.com
Fannie Mae,FNMA,Financials,3961,7400,101543,22176,Washington,DC,no,no,no,yes,25,David C. Benson,33,-8,www.fanniemae.com
